Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
ADM5	AM5, C19orf76	ENSG00000224420	Adrenomedullin 5 (putative)	19	49688664-49690575	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level							Mixed			skin: 1.6
ADPGK	ADP-GK, DKFZp434B195	ENSG00000159322	ADP-dependent glucokinase	15	72751369-72785846	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA045194, HPA058525	Uncertain		Uncertain	Centrosome	Expressed in all			tonsil: 14.8
ADPRHL2	ARH3, FLJ20446	ENSG00000116863	ADP-ribosylhydrolase like 2	1	36088875-36093932	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA027104, HPA027141	Uncertain		Supportive	Nucleus but not nucleoli	Expressed in all			fallopian tube: 26.0
AEBP1	ACLP	ENSG00000106624	AE binding protein 1	7	44104361-44114562	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB009966, HPA063595, HPA064970	Supportive				Expressed in all			gallbladder: 150.9
AFM	ALB2, ALBA	ENSG00000079557	Afamin	4	73481683-73504001	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA017006	Supportive				Group enriched	619	kidney: 48.4;liver: 238.1	stomach: 0.2
AFP	FETA, HPAFP	ENSG00000081051	Alpha-fetoprotein	4	73431138-73456174	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA010607, HPA023600, CAB024283, CAB025339	Uncertain		Supportive	Cytoplasm	Tissue enriched	9	liver: 0.8	adipose tissue: 0.0
AGA	ASRG	ENSG00000038002	Aspartylglucosaminidase	4	177430770-177442503	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA031415, HPA031417	Supportive		Uncertain	Nucleus, Vesicles, Cytoskeleton (Microtubules), Cytoskeleton (Intermediate filaments)	Expressed in all			thyroid gland: 14.9
AGER	RAGE	ENSG00000204305	Advanced glycosylation end product-specific receptor	6	32180968-32184324	Cancer-related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB011682, HPA064436	Uncertain		Uncertain	Nucleoli, Plasma membrane, Cell Junctions	Tissue enriched	163	lung: 1204.1	thyroid gland: 7.3
AGK	FLJ10842, MULK	ENSG00000006530	Acylglycerol kinase	7	141551189-141655244	Disease related genes, Enzymes, Mitochondrial proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA020959, HPA053471	Supportive		Supportive	Mitochondria, Vesicles	Expressed in all			heart muscle: 14.9
AGPS	ADAP-S, ADAS, ADHAPS, ADPS, ALDHPSY	ENSG00000018510	Alkylglycerone phosphate synthase	2	177392644-177543836	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA030209, HPA030210, HPA030211	Supportive		Supportive	Vesicles	Expressed in all			colon: 12.9
AGR2	AG2, HAG-2, PDIA17, XAG-2	ENSG00000106541	Anterior gradient 2	7	16791811-16833433	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA007912	Supportive		Uncertain	Cytoplasm	Tissue enhanced	0	rectum: 1000.4;stomach: 952.3	colon: 597.8
AGR3	BCMP11, hAG-3, HAG3, PDIA18	ENSG00000173467	Anterior gradient 3	7	16859405-16881987	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA053942	Supportive				Tissue enhanced	0	fallopian tube: 226.9;small intestine: 179.9	rectum: 168.5
AGRN	AGRIN	ENSG00000188157	Agrin	1	1020123-1056118	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA040090	Uncertain		Supportive	Plasma membrane, Cytoplasm	Expressed in all			kidney: 25.7
AGRP	Agrt, ART, ASIP2	ENSG00000159723	Agouti related neuropeptide	16	67482571-67483813	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA041017	Uncertain				Tissue enhanced	0	adrenal gland: 2.7;lung: 0.9	kidney: 0.4
AGT	SERPINA8	ENSG00000135744	Angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	1	230702523-230714297	Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA001557	Uncertain				Tissue enhanced	0	liver: 386.2	cerebral cortex: 109.7
AGTPBP1	CCP1, KIAA1035, Nna1	ENSG00000135049	ATP/GTP binding protein 1	9	85546539-85742029	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA057208	Uncertain		Supportive	Nucleoli, Plasma membrane, Cytoplasm	Expressed in all			bone marrow: 29.8
AGTRAP	ATRAP	ENSG00000177674	Angiotensin II receptor-associated protein	1	11736084-11754802	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA044120	Uncertain		Supportive	Vesicles	Expressed in all			bone marrow: 71.8
AHCYL2	KIAA0828	ENSG00000158467	Adenosylhomocysteinase-like 2	7	129225023-129430211	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA053128	Uncertain		Uncertain	Cytoplasm, Nucleus but not nucleoli	Expressed in all			rectum: 148.7
AHSG	A2HS, FETUA, HSGA	ENSG00000145192	Alpha-2-HS-glycoprotein	3	186612923-186621318	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA001524, HPA001525, CAB026209	Supportive				Tissue enriched	3822	liver: 2121.9	testis: 0.5
AIG1	AIG-1, dJ95L4.1, FLJ10485	ENSG00000146416	Androgen-induced 1	6	143060496-143340304	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA060766	Uncertain		Uncertain	Golgi apparatus	Expressed in all			liver: 135.9
AK4	AK3, AK3L1	ENSG00000162433	Adenylate kinase 4	1	65147549-65232145	Enzymes, Mitochondrial proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA042753, HPA049461	Supportive		Supportive	Mitochondria	Tissue enhanced	0	kidney: 86.2	liver: 28.1
AKAP10	D-AKAP2, MGC9414, PRKA10	ENSG00000108599	A kinase (PRKA) anchor protein 10	17	19904302-19978343	Disease related genes, Mitochondrial proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA028901	Uncertain		Supportive	Plasma membrane, Cytoplasm	Expressed in all			thyroid gland: 14.4
AKR1C1	DD1, DDH, DDH1, HAKRC, MBAB	ENSG00000187134	Aldo-keto reductase family 1, member C1	10	4963253-5107522	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB047303	Uncertain				Expressed in all			liver: 211.0
AL161784.1		ENSG00000280315		9	121341347-121348132	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level								Not detected			adipose tissue: 0.0
AL356289.1		ENSG00000279096	HCG1780467 {ECO:0000313|EMBL:EAX06861.1}; PRO0529 {ECO:0000313|EMBL:AAF16687.1} 	1	48102068-48104707	Predicted secreted proteins	No evidence	No evidence								Not detected			adipose tissue: 0.0
AL589743.1		ENSG00000279508		14	19300177-19302924	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level								Tissue enhanced	0	prostate: 2.2	adipose tissue: 1.0
ALAS2	ASB	ENSG00000158578	Aminolevulinate, delta-, synthase 2	X	55009055-55031064	Disease related genes, Enzymes, Mitochondrial proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA001638	Uncertain				Tissue enriched	18	bone marrow: 298.7	placenta: 16.5
ALB		ENSG00000163631	Albumin	4	73397114-73421412	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB006262, HPA031024, HPA031025	Supportive		Supportive	Golgi apparatus, Endoplasmic reticulum	Tissue enriched	210	liver: 73775.7	pancreas: 351.6
ALDH9A1	ALDH4, ALDH7, ALDH9, E3	ENSG00000143149	Aldehyde dehydrogenase 9 family, member A1	1	165662216-165698863	Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA006077, HPA010873	Uncertain		Uncertain	Cytoplasm	Expressed in all			thyroid gland: 111.2
ALDOA		ENSG00000149925	Aldolase A, fructose-bisphosphate	16	30053090-30070457	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA004177, CAB006252	Supportive		Uncertain	Cytoplasm	Tissue enriched	6	skeletal muscle: 7062.5	heart muscle: 1138.4
ALG1	HMAT1, HMT-1	ENSG00000033011	ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase	16	5033702-5087379	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA060392	Uncertain				Expressed in all			testis: 12.8
ALG5	bA421P11.2	ENSG00000120697	ALG5, dolichyl-phosphate beta-glucosyltransferase	13	36949775-37000261	Enzymes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA007989	Uncertain		Uncertain	Cytoplasm	Expressed in all			thyroid gland: 52.5
ALG9	DIBD1	ENSG00000086848	ALG9, alpha-1,2-mannosyltransferase	11	111782195-111871581	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA038575	Uncertain				Expressed in all			testis: 14.5
ALKBH1	ABH, alkB, ALKBH, hABH	ENSG00000100601	AlkB, alkylation repair homolog 1 (E. coli)	14	77672404-77708020	Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA044087	Uncertain				Expressed in all			tonsil: 3.3
ALKBH5	FLJ20308, OFOXD1	ENSG00000091542	AlkB family member 5, RNA demethylase	17	18183078-18209954	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA007196	Uncertain		Uncertain	Nucleus but not nucleoli, Cytoplasm, Golgi apparatus	Expressed in all			skeletal muscle: 73.2
ALPI		ENSG00000163295	Alkaline phosphatase, intestinal	2	232456123-232460032	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA038764, HPA038765, HPA051699	Supportive				Group enriched	23	duodenum: 137.0;small intestine: 133.0	colon: 5.8
ALPL	HOPS, TNSALP	ENSG00000162551	Alkaline phosphatase, liver/bone/kidney	1	21509372-21578412	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA007105, HPA008765, CAB020829	Uncertain		Supportive	Cytoplasm	Tissue enhanced	0	kidney: 45.3;lung: 47.6	appendix: 23.7
ALPP		ENSG00000163283	Alkaline phosphatase, placental	2	232378534-232382889	Cancer-related genes, Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB026327, HPA038764, HPA038765, HPA051699	Supportive				Tissue enriched	28	placenta: 39.1	fallopian tube: 1.4
ALPPL2		ENSG00000163286	Alkaline phosphatase, placental-like 2	2	232406843-232410714	Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB020698, HPA038764, HPA038765, HPA051699	Supportive				Tissue enhanced	0	fallopian tube: 0.7;placenta: 2.4	lung: 0.6
AMBN		ENSG00000178522	Ameloblastin (enamel matrix protein)	4	70592256-70607288	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level						Not detected			cerebral cortex: 0.1
AMBP	EDC1, HCP, HI30, IATIL, ITI, ITIL, ITILC, UTI	ENSG00000106927	Alpha-1-microglobulin/bikunin precursor	9	114060127-114078472	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA001497, CAB069436	Uncertain				Tissue enriched	24	liver: 3641.3	gallbladder: 151.2
AMELX	AIH1, AMG	ENSG00000125363	Amelogenin, X-linked	X	11293413-11300761	Disease related genes, Predicted secreted proteins	Evidence at protein level	No evidence	Evidence at protein level							Not detected			testis: 0.1
AMELY	AMGL	ENSG00000099721	Amelogenin, Y-linked	Y	6865918-6874027	Predicted secreted proteins	Evidence at transcript level	No evidence	Evidence at transcript level							Not detected			adipose tissue: 0.0
AMH	MIS	ENSG00000104899	Anti-Mullerian hormone	19	2249309-2252073	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB031933	Uncertain				Tissue enriched	6	testis: 0.8	skeletal muscle: 0.1
AMICA1	AMICA, Gm638	ENSG00000160593	Adhesion molecule, interacts with CXADR antigen 1	11	118193740-118225094	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA047919	Uncertain				Tissue enhanced	0	appendix: 57.0	spleen: 36.8
